Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
2211,7,1E3BF33FF762EAAEE73550C3CE917515CBCC31E0,Email,.msg,70656,9155,4,English
2214,4,350D45052601590D2E456452769E2103984B43FF,Email,.msg,88064,8538,4,English
2252,8,36449DAF0C2C9E4F51C1AC209F1CB7FA4E07CD7A,Email,.msg,218624,13274,7,English
2288,1,08F7ED48ABC96B539F8F8934EF912C70EC1C07B0,Email,.msg,100864,2950,2,English
2300,2,E8C41C7E1F21A4E29368A09F470130BF96EF4B9D,Email,.msg,2780672,1063,1,English
2302,1,F1F8ED8066AEC61F5F916341FD6F3AA511C8FF64,Email,.msg,38400,2408,2,English
2309,13,F33C530A8DB2901BDE5AFFAE782F06C05D2A54FF,Email,.msg,153600,10907,6,English
2325,2,9F61EAA7EC24BF65AA1422B67A524843C96A67B3,Email,.msg,51200,3809,2,English
2347,7,F81B987A032F3A1521FDBE56C5A926B7CE8D9390,Email,.msg,92160,8601,4,English
2350,1,00391393CB15FC9361715433F53EB658DD7B2075,Email,.msg,105472,1928,1,English
2376,3,FC4F88639C0082AEFBD0B25022EF87579AE2F7E7,Email,.msg,66048,4379,3,English
2384,4,A4BA18E185D58BBDE9B414C309860CA24EF4C43E,Email,.msg,52224,6637,3,English
2385,1,FEA06094169F070EE5686DFC8C10E726C9F69A03,Email,.msg,78336,2165,2,English
2695,2,F456C6F09565620968644139AF6DB8775BE261CE,Email,.msg,49152,1758,1,English
2700,8,F760AD938FEDD37F240FC34FBE5B4E066A26D698,Email,.msg,112128,10093,6,English
2701,1,F7D9F87FC0D610F6AD62DE9BF4E3755088044D09,Email,.msg,43520,3170,2,English
2705,4,F8DA973181B0AE689E7FAC44E6D18C921D78921F,Email,.msg,133632,9745,6,English
2712,9,FDD7529E40A312C22B3358D72A57A2CF8F087C38,Email,.msg,77312,4698,3,English
2713,2,FE177DF0B51CF42E4EFF9879EB43C68DD312D8D7,Email,.msg,47104,6509,7,English
2718,1,3305B3C73CE73B67C51C9BDCA0D5DD435F411AE6,Email,.msg,29696,2522,2,English
